Time,XRotation,YRotation,ZRotation,XPosition,YPosition,ZPosition
0,0,0,0,0,0,0
0.02,-0.1284314,0.0006246556,0.004790298,1.999276,0.01802881,2.97824
0.04,-0.1284224,0.0006235536,0.004795959,1.999275,0.01802774,2.978241
0.3733333,-0.1284432,0.0005789484,0.004814249,1.999265,0.01802989,2.978238
0.3961811,-0.1284586,0.0005768101,0.004814717,1.999265,0.01803205,2.978235
0.4100031,-0.1284529,0.0005786827,0.004819807,1.999265,0.01803126,2.978236
0.4267795,-0.1284397,0.0005725361,0.004817946,1.999264,0.01802964,2.978238
0.4433704,-0.1284488,0.0005709999,0.004812995,1.999265,0.01803081,2.978236
0.4602714,-0.1284617,0.0005742576,0.004813095,1.999265,0.01803243,2.978234
0.4767936,-0.1284544,0.0005762984,0.004821068,1.999264,0.01803141,2.978235
0.4933745,-0.1284472,0.0005743551,0.004823215,1.999264,0.01803076,2.978237
0.5100123,-0.1284517,0.0005733314,0.004827027,1.999263,0.0180309,2.978236
0.526834,-0.1284608,0.0005674099,0.004830397,1.999261,0.01803222,2.978234
0.5433948,-0.128456,0.000570429,0.004827197,1.999262,0.01803158,2.978235
0.5600281,-0.1284423,0.0005879162,0.004830667,1.999264,0.01803012,2.978238
0.5767691,-0.1284474,0.0005950407,0.004829115,1.999265,0.01803045,2.978237
0.5933042,-0.1284687,0.0005967548,0.004838425,1.999265,0.01803233,2.978234
0.6100287,-0.1284696,0.0005970118,0.004847671,1.999263,0.01803355,2.978232
0.6266618,-0.1284456,0.0005882998,0.004849597,1.999261,0.0180306,2.978237
0.6433167,-0.1284429,0.0005946642,0.004846708,1.999262,0.01803011,2.978238
0.6600548,-0.1284569,0.0006009249,0.004848778,1.999263,0.01803155,2.978235
0.6767116,-0.1284605,0.0006019087,0.004844342,1.999263,0.01803221,2.978234
0.6933534,-0.1284543,0.0005984967,0.004844011,1.999263,0.01803163,2.978235
0.7099656,-0.1284445,0.0006011475,0.004847804,1.999263,0.01803036,2.978237
0.7266514,-0.1284527,0.0006122378,0.004849367,1.999264,0.01803114,2.978236
0.7433611,-0.1284672,0.0006174921,0.004845791,1.999266,0.01803301,2.978233
0.7599961,-0.1284539,0.0006199668,0.004841979,1.999267,0.01803164,2.978235
0.7766836,-0.1284335,0.0006177629,0.00484608,1.999265,0.01802933,2.978239
0.7933248,-0.1284346,0.0006219684,0.004849108,1.999266,0.01802911,2.978239
0.8100002,-0.1284439,0.0006201488,0.004844886,1.999266,0.01803019,2.978237
0.8267263,-0.1284481,0.0006317734,0.004841948,1.999268,0.01803095,2.978236
0.8432897,-0.1284326,0.0006411267,0.004844404,1.999269,0.01802912,2.978239
0.8601416,-0.1284209,0.0006432894,0.004839003,1.99927,0.01802759,2.978242
0.8767311,-0.1284344,0.000636399,0.004840127,1.999269,0.0180289,2.97824
0.8932983,-0.1284446,0.0006290295,0.00483413,1.999269,0.01803035,2.978237
0.910039,-0.1284282,0.0006350475,0.00483633,1.99927,0.01802846,2.97824
0.9266826,-0.1284121,0.0006206937,0.004836049,1.999268,0.01802654,2.978243
0.9432828,-0.1284316,0.0006138683,0.004838209,1.999267,0.01802841,2.97824
0.9599779,-0.1284508,0.0006110566,0.004835066,1.999267,0.01803104,2.978236
0.976702,-0.1284463,0.0006122554,0.004829822,1.999267,0.01803058,2.978237
0.9933549,-0.1284231,0.0006081045,0.0048304,1.999267,0.01802786,2.978241
1.010016,-0.1284302,0.0006110489,0.004832428,1.999267,0.01802844,2.97824
1.026833,-0.1284505,0.0006116638,0.00483096,1.999267,0.01803085,2.978236
1.043323,-0.1284446,0.0006143562,0.004828883,1.999268,0.01803059,2.978237
1.060026,-0.1284157,0.000603084,0.004827693,1.999267,0.01802739,2.978242
1.076792,-0.1284185,0.000594144,0.00482583,1.999266,0.01802697,2.978242
1.093324,-0.1284452,0.0005946483,0.004828058,1.999266,0.01802997,2.978238
1.109984,-0.1284383,0.000593978,0.004829552,1.999265,0.0180298,2.978238
1.126716,-0.1284136,0.0005788957,0.004832331,1.999264,0.018027,2.978243
1.143361,-0.1284105,0.0005774684,0.004832499,1.999262,0.01802625,2.978244
1.160016,-0.1284416,0.0005702019,0.00483257,1.999261,0.01802937,2.978238
1.176589,-0.1284384,0.000574032,0.004834395,1.999261,0.01802964,2.978238
Building new room, if data available
1.194756,-0.1284054,0.0005718716,0.004829579,1.999262,0.01802578,2.978245
1.209958,-0.1284113,0.0005631333,0.004835388,-0.0007398874,0.01802596,-0.02175611
1.22669,-0.1284365,0.0005622857,0.004840674,-0.0007412583,0.01802904,-0.02176093
1.243369,-0.1284379,0.0005646747,0.004837281,-0.0007403381,0.01802954,-0.0217615
1.260051,-0.1284146,0.0005539723,0.004835083,-0.0007415526,0.01802691,-0.02175726
1.276659,-0.1284149,0.0005516929,0.004833044,-0.0007414557,0.01802639,-0.0217568
1.293326,-0.1284439,0.0005511086,0.004838419,-0.0007418878,0.0180293,-0.02176176
1.310084,-0.1284536,0.0005475751,0.004841412,-0.0007434338,0.01803131,-0.02176439
1.326631,-0.1284373,0.0005483184,0.004841792,-0.0007437542,0.01802951,-0.02176145
1.343263,-0.1284325,0.0005403001,0.00484123,-0.0007442236,0.01802872,-0.02176035
1.360385,-0.1284466,0.0005336536,0.004842755,-0.0007458813,0.01803043,-0.02176304
1.37677,-0.1284504,0.0005341051,0.00484369,-0.0007455498,0.01803089,-0.02176376
1.393341,-0.1284443,0.0005405147,0.004847809,-0.0007456169,0.01803029,-0.02176273
1.410006,-0.1284363,0.0005386444,0.004843623,-0.0007454269,0.0180294,-0.02176129
1.427095,-0.1284313,0.0005403517,0.004847186,-0.0007454678,0.01802864,-0.02176019
1.443338,-0.1284356,0.0005406914,0.004846702,-0.0007455088,0.01802905,-0.0217609
1.459944,-0.1284427,0.0005393341,0.004849684,-0.0007460117,0.01802988,-0.02176224
1.476631,-0.1284426,0.000543484,0.004855702,-0.0007459968,0.01803006,-0.02176239
1.493339,-0.1284409,0.0005341746,0.004853638,-0.000747066,0.01803002,-0.02176223
1.509948,-0.1284424,0.0005346632,0.004843117,-0.0007453412,0.01803006,-0.02176237
1.526877,-0.1284655,0.0005466262,0.004847992,-0.0007445365,0.01803236,-0.02176629
1.543275,-0.1284612,0.0005494145,0.004836595,-0.000742536,0.01803219,-0.02176578
1.559991,-0.1284458,0.0005386668,0.004841119,-0.0007448047,0.0180305,-0.02176304
1.576615,-0.1284451,0.0005466965,0.00484769,-0.0007446893,0.01803032,-0.02176282
1.59326,-0.128462,0.0005504899,0.004852088,-0.0007449649,0.0180321,-0.02176578
1.610004,-0.1284673,0.0005564911,0.004849765,-0.0007435232,0.01803302,-0.02176704
1.62668,-0.1284505,0.0005640025,0.004848969,-0.0007426739,0.01803106,-0.0217639
1.643285,-0.1284538,0.0005675572,0.004848158,-0.0007420741,0.01803095,-0.02176405
1.659944,-0.1284671,0.0005588902,0.004847143,-0.0007433295,0.01803248,-0.02176652
1.676602,-0.1284644,0.0005608122,0.0048499,-0.0007428452,0.01803255,-0.02176637
1.693359,-0.1284511,0.0005624613,0.004841805,-0.0007414408,0.01803111,-0.02176398
1.709997,-0.128442,0.000566263,0.00484424,-0.0007413588,0.01803005,-0.02176229
1.726693,-0.1284568,0.0005747005,0.004839918,-0.0007395409,0.01803169,-0.02176495
1.743273,-0.1284658,0.0005836622,0.004840572,-0.0007383749,0.01803288,-0.02176675
1.760038,-0.1284593,0.0005741963,0.004845592,-0.0007402077,0.01803226,-0.02176568
1.776605,-0.1284493,0.0005815981,0.004843971,-0.0007390901,0.01803083,-0.02176357
1.793279,-0.1284647,0.0005757048,0.004845615,-0.0007398985,0.01803235,-0.02176619
1.809978,-0.1284679,0.0005726513,0.004849412,-0.0007412285,0.01803308,-0.02176712
1.826625,-0.128451,0.0005686908,0.004846099,-0.0007412508,0.01803109,-0.02176395
1.843282,-0.1284345,0.0005675943,0.004846615,-0.0007415116,0.01802915,-0.02176087
1.860031,-0.1284451,0.0005622383,0.004850844,-0.000742346,0.01803012,-0.02176261
1.876629,-0.1284577,0.0005684852,0.00484197,-0.0007406101,0.01803175,-0.02176509
1.893309,-0.1284546,0.0005674556,0.004840779,-0.0007407553,0.01803149,-0.0217646
1.90995,-0.1284356,0.0005710639,0.004838377,-0.0007398389,0.01802933,-0.02176112
1.926702,-0.1284337,0.0005813469,0.004836404,-0.0007378943,0.01802882,-0.02176049
1.943236,-0.1284439,0.0005809644,0.004834526,-0.0007374175,0.01803024,-0.02176258
1.959965,-0.128449,0.0005687783,0.004839861,-0.0007402115,0.01803081,-0.02176353
1.976659,-0.1284336,0.0005692763,0.004838925,-0.0007399507,0.01802897,-0.02176063
1.993292,-0.1284296,0.0005707414,0.004840102,-0.0007402189,0.01802853,-0.02175992
